Original Title,Language,Text
Avengers: Endgame,en,"Avengers: Endgame is a 2019 American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sequel to 2012's The Avengers, 2015's Avengers: Age of Ultron, and 2018's Avengers: Infinity War, and the twenty-second film in the Marvel Cinematic Universe (MCU). It was directed by Anthony and Joe Russo and written by Christopher Markus and Stephen McFeely, and features an ensemble cast including Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, and Josh Brolin. In the film, the surviving members of the Avengers and their allies attempt to reverse the damage caused by Thanos in Infinity War.
The film was announced in October 2014 as Avengers: Infinity War – Part 2, but Marvel later removed this title. The Russo brothers joined as directors in April 2015, with Markus and McFeely signing on to write the script a month later. The film serves as a conclusion to the story of the MCU up to that point, ending the story arcs for several main characters. Filming began in August 2017 at Pinewood Atlanta Studios in Fayette County, Georgia, shooting back-to-back with Infinity War, and ended in January 2018. Additional filming took place in the Metro and Downtown Atlanta areas, New York, Scotland, and England. The story revisits several moments from earlier films, bringing back actors and settings from throughout the franchise as well as music from previous films. The official title was revealed in December 2018. With an estimated budget of $356 million, it is one of the most expensive films ever made.
Avengers: Endgame was widely anticipated, and Disney backed the film with Marvel's largest marketing campaign. It premiered in Los Angeles on April 22, 2019, and was theatrically released in the United States on April 26. The film received praise for its direction, acting, musical score, action sequences, visual effects, and emotional weight, with critics lauding its culmination of the 22-film story. It grossed nearly $2.8 billion worldwide, surpassing Infinity War's entire theatrical run in just eleven days and breaking numerous box office records, including becoming the highest-grossing film of all time. The film received numerous awards and nominations, including a nomination for Best Visual Effects at the 92nd Academy Awards, three nominations, at the 25th Critics' Choice Awards (winning two), and a nomination for Special Visual Effects at the 73rd British Academy Film Awards."
Avengers: Endgame,fr,"Avengers: Endgame (Avengers : Phase finale au Québec) est un film américain réalisé par Anthony et Joe Russo, sorti en 2019. Il met en scène l'équipe de super-héros des comics Marvel, les Avengers.
Il s'agit du 22e film de l'Univers cinématographique Marvel, débuté en 2008 et du 10e et avant-dernier de la phase III. Ce film est la suite directe de Avengers: Infinity War à la fin duquel « la moitié de tous les êtres vivants de l'univers » — et donc des personnages de l'Univers Marvel — disparaît d'un claquement de doigts de Thanos, après qu'il est entré en possession de toutes les Pierres de l'infini.
Tout comme ses trois prédécesseurs, le film rassemble les acteurs des différentes franchises super-héroïques habituellement séparées, parmi lesquels Iron Man, Black Widow, Thor, Hulk ou encore Captain America et Ant-Man qui ont survécu à la conclusion du film précédent. Avengers: Endgame marque la fin du cycle des « gemmes de l'infini » démarré avec le film Iron Man en 2008.
Le film effectue le meilleur démarrage de l'histoire du cinéma en rapportant plus de 1,2 milliard de dollars de recettes mondiales lors de son premier week-end d'exploitation. Premier film à dépasser les 2 milliards onze jours après sa sortie, il devient en douze semaines d'exploitation le plus gros succès du box-office mondial devant Avatar."
Avengers: Endgame,zh,"《復仇者聯盟4：終局之戰》（英語：Avengers: Endgame）是一部於2019年上映的美國史詩超級英雄電影，改編自漫威漫畫旗下的超級英雄團隊復仇者聯盟，由漫威影業製作及華特迪士尼工作室電影發行。本片為2018年電影《復仇者聯盟3：無限之戰》的續集，同時也是漫威電影宇宙（MCU）系列的第22部電影作品。此電影由羅素兄弟執導，及由史蒂芬·麥費利與克里斯多佛·馬庫斯負責撰寫劇本。電影主演包括小勞勃·道尼、克里斯·伊凡、馬克·盧法洛、克里斯·漢斯沃、史嘉蕾·喬韓森、傑瑞米·雷納、唐·奇鐸、保羅·路德、布麗·拉森、凱倫·吉蘭、達娜·古瑞拉、布萊德利·庫柏和喬許·布洛林。克里斯·埃文斯表示，本片將是他最後一部漫威宇宙系列的電影。電影中，復仇者聯盟中的倖存成員與他們的盟友共同努力以扭轉薩諾斯在無限之戰中所造成的傷害。
此電影於2014年10月宣布開拍，是作為《復仇者聯盟3：無限之戰（下集）》。羅素兄弟於2015年4月開始執導，史蒂芬·麥費利及克里斯多佛·馬庫斯於同年5月簽約為電影編寫劇本。2016年7月，漫威刪除了電影標題，簡稱為《未命名的復仇者聯盟電影》。電影於2017年8月於喬治亞州費耶特縣的松林亞特蘭大工作室，與《無限之戰》以背靠背電影製作方式拍攝，並於2018年1月結束。額外的拍攝於亞特蘭大都會區及亞特蘭大市中心地區和紐約州取景。電影的官方名稱於2018年12月公佈。電影預算為3.56億美元，成為史上最昂貴電影之一。
《復仇者聯盟4：終局之戰》備受期待，迪士尼透過廣泛的營銷活動以支持這部電影。電影於2019年4月22日在洛杉磯舉行全球首映禮，並於2019年4月26日在美國以IMAX和3D形式發行。電影因其執導方向、演技、配樂、娛樂價值、視覺效果及情感重量而獲得影評人及普羅大眾的廣泛讚譽，影評人更讚揚此電影是長達十年的22部電影故事的高潮。它還打破了無數的票房紀錄，全球票房收入超過27億美元，上映僅僅11天就超越了《復仇者聯盟：無限之戰》的票房，並成為2019年票房最高的電影、全球最高超級英雄電影票房和全球最賣座的電影。"
Ted Bundy,en,"Theodore Robert Bundy (né Cowell; November 24, 1946 – January 24, 1989) was an American serial killer who kidnapped, raped, and murdered numerous young women and girls during the 1970s and possibly earlier. After more than a decade of denials, before his execution in 1989 he confessed to 30 homicides that he committed in seven states between 1974 and 1978. The true number of victims is unknown and possibly higher.
Bundy was regarded as handsome and charismatic, traits that he exploited to win the trust of victims and society. He would typically approach his victims in public places, feigning injury or disability, or impersonating an authority figure, before knocking them unconscious and taking them to secluded locations to rape and kill them. He sometimes revisited his secondary crime scenes, grooming and performing sexual acts with the decomposing corpses until putrefaction and destruction by wild animals made any further interactions impossible. He decapitated at least 12 victims and kept some of the severed heads as mementos in his apartment. On a few occasions, he broke into dwellings at night and bludgeoned his victims as they slept.
In 1975, Bundy was jailed for the first time when he was incarcerated in Utah for aggravated kidnapping and attempted criminal assault. He then became a suspect in a progressively longer list of unsolved homicides in several states. Facing murder charges in Colorado, he engineered two dramatic escapes and committed further assaults in Florida, including three murders, before his ultimate recapture in 1978. For the Florida homicides, he received three death sentences in two separate trials. Bundy was executed in the electric chair at Florida State Prison in Raiford, Florida on January 24, 1989.Biographer Ann Rule, who had previously worked with Bundy, described him as ""a sadistic sociopath who took pleasure from another human's pain and the control he had over his victims, to the point of death, and even after."" He once called himself ""the most cold-hearted son of a bitch you'll ever meet."" Attorney Polly Nelson, a member of his last defense team, wrote he was ""the very definition of heartless evil."""
Ted Bundy,fr,"Ted Bundy, né Theodore Robert Cowell le 24 novembre 1946 à Burlington et mort le 24 janvier 1989 à Starke, en Floride, est un tueur en série américain. Il a agressé et assassiné de nombreuses jeunes femmes et filles durant les années 1970, et peut-être avant. En plus d'enlever et violer ses victimes, il a pratiqué des actes nécrophiles sur leur dépouille. En prison, après plus d’une décennie à nier les faits et peu de temps avant son exécution, il a admis avoir commis trente homicides dans sept États différents entre les années 1974 et 1978. Le nombre de victimes demeure inconnu, mais pourrait être beaucoup plus élevé.
Aux yeux de ses jeunes victimes féminines, Bundy apparaît comme un homme de belle apparence et charismatique, traits utilisés pour gagner leur confiance. De manière générale, il approche ses victimes dans des lieux publics, feignant une blessure ou un handicap, ou en se faisant passer pour une figure d’autorité, avant de les intimider et de les agresser dans un endroit plus isolé. Parfois, il a revisité ses scènes de crime pour y commettre des actes sexuels avec les corps en décomposition jusqu’à ce que la putréfaction et la destruction par les animaux sauvages rendent toute pratique impossible. Il a décapité au moins douze de ses victimes et gardé quelques-unes des têtes tranchées dans son appartement pour une certaine période de temps en guise de souvenir. À de rares occasions, il s’est introduit par effraction dans la maison de ses victimes au milieu de la nuit et les a tuées à coups de matraque durant leur sommeil.
Initialement incarcéré en Utah en 1975 sur des charges d'enlèvement qualifié et de tentatives d’agression criminelle, Ted Bundy est devenu suspect pour un nombre grandissant d'homicides non résolus dans plusieurs États américains. Accusé de meurtres au Colorado, il a organisé et réussi deux évasions spectaculaires. Capturé en Floride en 1978, il a reçu trois sentences de mort à deux procès différents pour les homicides en Floride. Ted Bundy est mort sur la chaise électrique à la prison Raiford à Starke en Floride le 24 janvier 1989.
La biographe Ann Rule le décrit comme « un sociopathe sadique qui prenait plaisir dans la douleur d’autres êtres humains et le contrôle qu’il avait sur ses victimes, jusqu’à leur mort, et même après ». Un jour il se déclara « le plus grand fils de pute sans cœur que t'auras jamais rencontré »,, ce à quoi l’avocate Polly Nelson, membre de l’équipe s’occupant de sa défense, a consenti : « [Il] était la définition même d’un démon sans cœur »."
Ted Bundy,zh,"西奥多·罗伯特·“泰德”·邦迪（Theodore Robert ""Ted"" Bundy，1946年11月24日－1989年1月24日），原名西奥多·罗伯特·考维尔（Theodore Robert Cowell），是美国一个活跃于1973年至1978年的连环杀手。"
Freddie Mercury,en,"Freddie Mercury (born Farrokh Bulsara; 5 September 1946 – 24 November 1991) was a British singer, songwriter, record producer, and lead vocalist of the rock band Queen. Regarded as one of the greatest lead singers in the history of rock music, he was known for his flamboyant stage persona and four-octave vocal range.Born in 1946 in Zanzibar to Parsi parents from India, he attended English-style boarding schools in India from the age of eight and returned to Zanzibar after secondary school. In 1964, his family fled the Zanzibar Revolution, moving to Middlesex, England. Having studied and written music for years, he formed Queen in 1970 with guitarist Brian May and drummer Roger Taylor. Mercury wrote numerous hits for Queen, including ""Killer Queen"", ""Bohemian Rhapsody"", ""Somebody to Love"", ""We Are the Champions"", ""Don't Stop Me Now"", and ""Crazy Little Thing Called Love"". His charismatic stage performances often saw him interact with the audience, such as the 1985 Live Aid concert. He also led a solo career and served as a producer and guest musician for other artists. Mercury died in 1991 at age 45 due to complications from AIDS. He confirmed the day before his death that he had contracted the disease, having been diagnosed in 1987. In 1992, a tribute concert was held at Wembley Stadium.
As a member of Queen, Mercury was posthumously inducted into the Rock and Roll Hall of Fame in 2001, the Songwriters Hall of Fame in 2003, and the UK Music Hall of Fame in 2004. In 1990, he and the other Queen members were awarded the Brit Award for Outstanding Contribution to British Music, and one year after his death Mercury was awarded it individually. In 2005, Queen were awarded an Ivor Novello Award for Outstanding Song Collection from the British Academy of Songwriters, Composers, and Authors. In 2002, Mercury ranked number 58 in the BBC's poll of the 100 Greatest Britons."
Freddie Mercury,fr,"Freddie Mercury [ˈfɹɛdi ˈmɜːkjəɹi] — nom de scène de Farrokh Bulsara — né le 5 septembre 1946 à Stone Town dans le protectorat de Zanzibar et mort le 24 novembre 1991 à Londres, est un auteur-compositeur-interprète et musicien britannique, cofondateur en 1970 et chanteur-pianiste du groupe de rock Queen, au sein duquel il a établi sa réputation internationale, en compagnie du guitariste Brian May, du batteur Roger Taylor et du bassiste John Deacon, tous auteurs-compositeurs comme lui.
Doté d'une grande tessiture et d'une bonne maîtrise de quelques techniques d'opéra, il compose également la plupart des grands succès du groupe, dont Bohemian Rhapsody, Love of My Life, Somebody to Love, We Are the Champions, Don't Stop Me Now et Crazy Little Thing Called Love. Ses performances scéniques avec Queen participent à sa grande popularité, notamment sa prestation au Live Aid en 1985, dans le stade de Wembley. En solo, il réalise deux albums, Mr. Bad Guy en 1985 et Barcelona en 1988, qui comprennent notamment les titres Living on My Own, I Was Born to Love You et Barcelona en duo avec Montserrat Caballé.
Ouvertement bisexuel, il meurt à 45 ans des suites d'une pneumonie, un jour après avoir révélé au public qu'il était porteur du VIH et atteint du sida."
Freddie Mercury,zh,"弗雷迪·默丘里（英語：Freddie Mercury，1946年9月5日－1991年11月24日），原名法鲁克·布勒萨拉（Farrokh Bulsara，古吉拉特語：ફરોખ બલ્સારા‌），英国歌手、詞曲作家及唱片監製，以摇滚乐队皇后乐队的主唱和主创身份最为出名。作为一个表演者，他以华丽的风格和跨四个八度的嗓音闻名。作为一个创作者，他写了一些皇后乐队最广为流传的歌曲，如《Bohemian Rhapsody》、《Killer Queen》、《Somebody to Love》、《Don't Stop Me Now》和《Crazy Little Thing Called Love》等。除了作为皇后乐队的成员，他还有自己的个人演唱事业，也偶尔担任制作人和其他艺人的客座（唱歌或钢琴）。1991年11月24日，在公开自己的病情仅一天后，他因愛滋病引发的支气管肺炎去世。
默丘里出生於東非尚吉巴，血統為帕西人（印度波斯人），在出生地和印度度过了青少年时代。他被称为“英国的第一位亚裔摇滚巨星”。2002年，在BBC举办的“最伟大的100名英国人”的票选活动中，默丘里排名第58位。2006年，《时代周刊》亚洲版提名他为过去60年间最有影响力的亚裔英雄之一。 他持续不断地被票选为流行音乐史上最伟大的歌手之一。2005年，在美国电视台MTV2和杂志《Blender》组织的票选中默丘里被选为史上最伟大的男性歌手。2008年，《滚石杂志》编辑把他列为“100名史上最伟大的歌手”第18位。2009年，在《Classic Rock》杂志的票选中他被选为史上最伟大的摇滚歌手。 音乐指南网站Allmusic称他为“摇滚史上最伟大的艺人之一”，拥有“所有音乐中最伟大的声音之一”。"
Chernobyl disaster,en,"The Chernobyl disaster was a nuclear accident that occurred on Saturday 26 April 1986, at the No. 4 nuclear reactor in the Chernobyl Nuclear Power Plant, near the city of Pripyat in the north of the Ukrainian SSR. It is considered the worst nuclear disaster in history and is one of only two nuclear energy disasters rated at seven—the maximum severity—on the International Nuclear Event Scale, the other being the 2011 Fukushima Daiichi nuclear disaster in Japan.
The accident started during a safety test on an RBMK-type nuclear reactor, which was commonly used throughout the Soviet Union. The test was a simulation of an electrical power outage to aid the development of a safety procedure for maintaining reactor cooling water circulation until the back-up electrical generators could provide power. This gap was about one minute and had been identified as a potential safety problem that could cause the nuclear reactor core to overheat. Three such tests had been conducted since 1982, but they had failed to provide a solution. On this fourth attempt, the test was delayed by 10 hours, so an unprepared operating shift had to perform it. During a gradual decrease of reactor power in preparation for the electrical test, the reactor power unexpectedly dropped to a near-zero level at one moment. The operators were able to only partially restore the required test power, and this put the reactor in a highly unstable condition. The risks of this were not made evident in the operating instructions despite a similar accident occurring years before, and the test was initiated even though the power was still lower than prescribed. Upon test completion, the operators triggered a reactor shutdown, but a combination of unstable conditions and reactor design flaws caused an uncontrolled nuclear chain reaction instead.A large amount of energy was suddenly released, vapourising superheated cooling water and rupturing the reactor core in a highly destructive steam explosion. This was immediately followed by an open-air reactor core fire that released considerable airborne radioactive contamination for about nine days that precipitated onto parts of the USSR and western Europe, before being finally contained on 4 May 1986. The fire gradually released about the same amount of contamination as the initial explosion. 
As a result of rising ambient radiation levels off-site, a 10-kilometre (6.2 mi) radius exclusion zone was created 36 hours after the accident. About 49,000 people were evacuated from the area, primarily from Pripyat. The exclusion zone was later increased to 30 kilometres (19 mi) radius when a further 68,000 people were evacuated from the wider area.The reactor explosion killed two of the reactor operating staff. In the emergency response that followed, 134 firemen and station staff were hospitalized with acute radiation syndrome due to absorbing high doses of ionizing radiation. Of these 134 people, 28 died in the days to months afterward and approximately 14 suspected radiation-induced cancer deaths followed within the next 10 years. Among the wider population, an excess of 15 childhood thyroid cancer deaths were documented as of 2011. The United Nations Scientific Committee on the Effects of Atomic Radiation (UNSCEAR) has, at multiple times, reviewed all the published research on the incident and found that at present, fewer than 100 documented deaths are likely to be attributable to increased exposure to radiation. Determining the total eventual number of exposure related deaths is uncertain based on the linear no-threshold model, a contested statistical model, which has also been used in estimates of low level radon and air pollution exposure. Model predictions with the greatest confidence values of the eventual total death toll in the decades ahead from Chernobyl releases vary, from 4,000 fatalities when solely assessing the three most contaminated former Soviet states, to about 9,000 to 16,000 fatalities when assessing the total continent of Europe.To reduce the spread of radioactive contamination from the wreckage and protect it from weathering, the protective Chernobyl Nuclear Power Plant sarcophagus was built by December 1986. It also provided radiological protection for the crews of the undamaged reactors at the site, which continued operating. Due to the continued deterioration of the sarcophagus, it was further enclosed in 2017 by the Chernobyl New Safe Confinement, a larger enclosure that allows the removal of both the sarcophagus and the reactor debris, while containing the radioactive hazard. Nuclear clean-up is scheduled for completion in 2065. The Chernobyl disaster is considered the worst nuclear power plant accident in history, both in terms of cost and casualties. The initial emergency response, together with later decontamination of the environment, ultimately involved more than 500,000 personnel and cost an estimated 18 billion Soviet rubles—roughly US$68 billion in 2019, adjusted for inflation. The accident resulted in safety upgrades on all remaining Soviet-designed RBMK reactors, of which 10 continue to be operational as of 2019."
